URL,Date,Tweet,English,ID,Replies,Retweets,Likes,Quotes,Conv_ID,Language,Links,Media,Retweeted_Tweet,Bookmarks,Username,Sentiment
https://twitter.com/user1/status/1,2024-12-15,Information last everything thank serve civil institution.,Yes,1,0,0,8,1,1001,en,,,,0,user1,neutral
https://twitter.com/user2/status/2,2024-09-26,Democratic shake bill here.,Yes,2,1,1,17,0,1002,en,,,,0,user2,positive
https://twitter.com/user3/status/3,2025-06-09,Decide environment view possible participant commercial.,Yes,3,3,0,0,0,1003,en,,,,0,user3,neutral
https://twitter.com/user4/status/4,2025-08-08,Clear here writer policy news.,Yes,4,1,8,19,0,1004,en,,,,0,user4,positive
https://twitter.com/user5/status/5,2024-09-03,Civil quite others his other life edge network.,Yes,5,1,10,17,3,1005,en,,,,0,user5,neutral
https://twitter.com/user6/status/6,2025-07-22,Race Mr environment political.,Yes,6,3,9,8,0,1006,en,,,,0,user6,positive
https://twitter.com/user7/status/7,2025-06-21,Participant check several much single morning a.,Yes,7,5,6,10,2,1007,en,,,,0,user7,positive
https://twitter.com/user8/status/8,2024-11-27,She campaign little near enter their institution.,Yes,8,1,5,3,0,1008,en,,,,0,user8,positive
https://twitter.com/user9/status/9,2024-09-20,Democrat car very number line six space.,Yes,9,0,5,11,2,1009,en,,,,0,user9,negative
https://twitter.com/user10/status/10,2025-03-27,Art rock song body.,Yes,10,5,7,17,0,1010,en,,,,0,user10,positive
https://twitter.com/user11/status/11,2025-02-22,Image loss ten total.,Yes,11,0,8,9,2,1011,en,,,,0,user11,negative
https://twitter.com/user12/status/12,2025-07-27,Security arm once me.,Yes,12,1,1,1,1,1012,en,,,,0,user12,neutral
https://twitter.com/user13/status/13,2024-11-17,Walk now often always.,Yes,13,0,3,3,3,1013,en,,,,0,user13,negative
https://twitter.com/user14/status/14,2025-07-19,Act perform none beyond.,Yes,14,3,10,11,1,1014,en,,,,0,user14,negative
https://twitter.com/user15/status/15,2024-12-05,Voice care break blood.,Yes,15,2,3,8,0,1015,en,,,,0,user15,negative
https://twitter.com/user16/status/16,2024-09-28,Scientist necessary into act.,Yes,16,5,2,17,1,1016,en,,,,0,user16,neutral
https://twitter.com/user17/status/17,2024-10-08,Nation strong old challenge.,Yes,17,3,6,8,1,1017,en,,,,0,user17,positive
https://twitter.com/user18/status/18,2025-05-29,Site in prove same easy city.,Yes,18,2,0,7,0,1018,en,,,,0,user18,neutral
